site_name,sid,field,cps_value,idph_value,other_value,resolved,confidence,sources,accessed,note
Nathan S Davis Elementary School,609876,setting,3050 W 39th Pl (school bldg 3014 W 39th Pl),3050 W. 39th Pl. Annex,CDPH 2014: 'UIC- Mile Square at Davis Elementary' @ 3050 W 39th Pl,in_building,medium,https://oceanhp.uic.edu/programs/community-health/mile-square-community-school-health-centers/; https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics/davis-health-wellness-center; https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf; https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD,2026-09-12,"sbhc.csv has this as school_linked because the centre address differs from the school building address. IDPH names it an Annex, i.e. CPS space on the Davis campus, and both CPS and UI Health publish the centre at 3050 W 39th Pl. For a co-location analysis this is in-building CPS space. Flagged: depends on whether the annex is a separate structure."
Nathan S Davis Elementary School,609876,sponsor,UI Health,"Board of Trustees, U of I at Chicago",HRSA grantee: University of Illinois,UI Health Mile Square Health Center,high,https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics,2026-09-12,"Not a true conflict: IDPH records the legal grantee, CPS the brand. The operating unit is UI Health Mile Square Health Center."
National Teachers Elementary Academy,610231,hours_split,Mon-Fri: 8:30am-4:30pm,,,school_year: Mon-Fri: 8:30am-4:30pm,high,https://oceanhp.uic.edu/programs/community-health/mile-square-community-school-health-centers/; https://hospital.uillinois.edu/mile-square-health-center/care-at-mile-square/services/primary-and-pediatric-care,2026-09-12,Operator and CPS sheet agree. No separate summer window published.
National Teachers Elementary Academy,610231,operational_status,,,,operating,high,https://hospital.uillinois.edu/mile-square-health-center/care-at-mile-square/services/primary-and-pediatric-care,2026-09-12,Listed on the operator's current site.
National Teachers Elementary Academy,610231,site_address,55 W Cermak Rd,55 W. Cermak Ave.,Mile Square: 55 W. Cermak Rd.,55 W Cermak Rd,high,https://hospital.uillinois.edu/mile-square-health-center/care-at-mile-square/services/primary-and-pediatric-care,2026-09-12,There is no Cermak Ave; IDPH street type is wrong.
National Teachers Elementary Academy,610231,sponsor,UI Health,"Board of Trustees, U of I at Chicago",HRSA grantee: University of Illinois,UI Health Mile Square Health Center,high,https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics,2026-09-12,"Not a true conflict: IDPH records the legal grantee, CPS the brand. The operating unit is UI Health Mile Square Health Center."
Nicholas Senn High School,609730,hours,"Mon, Tue, Thur: 8:00 am-4:00 pm",,Tapestry: Monday - Friday 8:00 am - 4:00 pm,Mon-Fri: 8:00am-4:00pm,high,https://tap360health.org/location/tapestry-senn-high-school/,2026-09-12,Operator page modified 2026-08-17 publishes a five-day week; CPS sheet has three days.
Nicholas Senn High School,609730,hours_split,"Mon, Tue, Thur: 8:00 am-4:00 pm",,,school_year: Mon-Fri: 8:00am-4:00pm,high,https://tap360health.org/location/tapestry-senn-high-school/,2026-09-12,School-year medical schedule. No summer or dental schedule published.
Nicholas Senn High School,609730,operational_status,,,,operating,high,https://tap360health.org/location/tapestry-senn-high-school/,2026-09-12,Listed on the operator's current site.
Nicholas Senn High School,609730,room_or_entrance,,,,Room 144,high,https://tap360health.org/location/,2026-09-12,Published by Tapestry 360 Health.
Nicholas Senn High School,609730,sponsor,Tapestry 360 Health,Heartland Health Center,HRSA grantee: TAPESTRY 360 HEALTH,Tapestry 360 Health,high,https://tap360health.org/new-name-same-quality-care/; https://blockclubchicago.org/2022/10/13/heartland-health-centers-renamed-tapestry-360-health-to-avoid-confusion-with-former-sister-agency/; https://tap360health.org/location/,2026-09-12,Heartland Health Centers rebranded as Tapestry 360 Health in Oct 2022. IDPH certified list still carries the pre-rename name. CPS sheet is correct.
Noble - Gary Comer College Prep,400052,lat_lon,,,"CDPH 2014 geocode of 7200 S Ingleside Ave: 41.764002, -87.601896","41.764002,-87.601896",medium,https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD,2026-09-12,"Fills the null coordinate flagged in sbhc.csv. Basis is a 2014 CDPH geocode of an address that has not changed, not the centre's own published coordinate. Set coord_basis='cdph_2014_geocode', not 'cps_school_building'."
Noble - Gary Comer College Prep,400052,operational_status,,,,operating,high,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,"Listed in CPS's 2025-26 SBHC directory. CPS 2025-26 forms booklet p.11; note this directory covers only the 'Open to ALL CPS Students' subset, not all 33 SBHCs"
Noble - Gary Comer College Prep,400052,setting,7200 S Ingleside Ave (school @ 7131 S South Chicago Ave),Comer Youth Center @ 7200 S. Ingleside Ave,CDPH 2014: 'ACCESS at Gary Comer Youth Center',school_linked,high,https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD; https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,"Centre is inside the Gary Comer Youth Center, a separate building from Gary Comer College Prep. school_linked confirmed."
Noble - Gary Comer College Prep,400052,sponsor,ACCESS Community Health Center,Access Community Health Network,CDPH 2014: 'ACCESS at Gary Comer Youth Center',Access Community Health Network,high,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf; https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD,2026-09-12,IDPH carries the correct corporate name; CPS sheet's '...Health Center' is wrong. CPS booklet uses the brand 'ACCESS'.
Noble Mansueto High School,400179,operational_status,,,,unverified,unresolved,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,"No current operator page or CPS directory entry checked for this site. HRSA carries hrsa_status='Active' but that field was not independently re-verified, so no status is asserted."
Noble Mansueto High School,400179,setting,cps_offsite_override @ 4700 S California Ave,not listed,IPHCA lists 4700 S California Ave as an Esperanza site,school_linked,high,https://www.iphca.org/health-center-locator/; https://www.esperanzachicago.org/location/esperanza-cultivate-collective,2026-09-12,"The centre is Esperanza's own Brighton Park clinic at 4700 S California Ave, roughly a kilometre from Mansueto HS (2911 W 47th St). CPS's off-site override is correct."
Orozco Fine Arts & Sciences Elementary School,610329,operational_status,,,,operating,high,https://alivio.org/locations/,2026-09-12,Listed on the operator's current site.
Orozco Fine Arts & Sciences Elementary School,610329,setting,in_building,in_building,Alivio: 'on-site' at all three schools,in_building,high,https://alivio.org/services/pediatrics/,2026-09-12,"Alivio: 'We also operate three school-based health centers, providing on-site, accessible health services to the students and community of Benito Juarez Community Academy, Orozco Community Academy, and Little Village Lawndale High School.'"
Orr Academy High School,610389,operational_status,,,,operating,high,https://www.rush.edu/about-us/rush-community/office-community-health-equity-and-engagement/community-based-practices,2026-09-12,Listed on the operator's current site.
Orr Academy High School,610389,room_or_entrance,,,,Room 109,high,https://www.rush.edu/about-us/rush-community/office-community-health-equity-and-engagement/community-based-practices,2026-09-12,Published by Rush.
Orr Academy High School,610389,site_address,730 N Pulaski Rd. Room 109,730 N. Pulaski St.,Rush's own page: '730 Pulaski Ave. Room 109',"730 N Pulaski Rd, Room 109",high,https://www.rush.edu/about-us/rush-community/office-community-health-equity-and-engagement/community-based-practices; https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD,2026-09-12,Three different street types across sources; Pulaski Rd is correct. Rush's own page is also wrong here.
Paul Laurence Dunbar Career Academy High School,609676,operational_status,,,,operating,high,https://www.rush.edu/about-us/rush-community/office-community-health-equity-and-engagement/community-based-practices,2026-09-12,Listed on the operator's current site.
Paul Laurence Dunbar Career Academy High School,609676,phone,773-534-0904,312-225-6592,Rush: (773) 534-0904,773-534-0904,high,https://www.rush.edu/about-us/rush-community/office-community-health-equity-and-engagement/community-based-practices,2026-09-12,IDPH number is a Mercy Hospital line and is stale along with the sponsor.
Paul Laurence Dunbar Career Academy High School,609676,room_or_entrance,,,,Room 208,high,https://www.rush.edu/about-us/rush-community/office-community-health-equity-and-engagement/community-based-practices,2026-09-12,Published by Rush.
Paul Laurence Dunbar Career Academy High School,609676,sponsor,Rush University Medical Center,Mercy Hospital and Medical Center,not in HRSA school-setting extract,Rush University Medical Center,high,https://www.rush.edu/about-us/rush-community/office-community-health-equity-and-engagement/community-based-practices,2026-09-12,Rush lists 'Rush Health Center at Dunbar Vocational Career Academy High School' among its five SBHCs and publishes the same phone CPS carries. IDPH's Mercy attribution is stale.
Richard T Crane Medical Preparatory HS,610561,operational_status,,,,operating,high,https://www.rush.edu/about-us/rush-community/office-community-health-equity-and-engagement/community-based-practices,2026-09-12,Listed on the operator's current site.
Richard T Crane Medical Preparatory HS,610561,room_or_entrance,,,,Room 110,high,https://www.rush.edu/about-us/rush-community/office-community-health-equity-and-engagement/community-based-practices,2026-09-12,Published by Rush.
Roald Amundsen High School,609695,hours_split,"Monday, Tuesday, Thursday, Friday, 8:00am-4:30pm Wednesday 10am-4:30pm",,,"school_year: Mon, Tue, Thu, Fri: 8:00am-4:30pm; Wed: 10:00am-4:30pm",high,https://www.eriefamilyhealth.org/locations/amundsen/,2026-09-12,School-year medical schedule. No summer or dental schedule published.
Roald Amundsen High School,609695,operational_status,,,,operating,high,https://www.eriefamilyhealth.org/locations/amundsen/,2026-09-12,Listed on the operator's current site.
Roald Amundsen High School,609695,phone,312-432-2000,312-666-3494,Erie publishes 312.666.3494 for every site,312-666-3494,medium,https://www.eriefamilyhealth.org/locations/amundsen/,2026-09-12,Erie routes all sites through central scheduling. CPS sheet's 312-432-2000 is not published anywhere current.
Roald Amundsen High School,609695,sponsor,Erie Family Health Centers,Erie Family Health Center,HRSA grantee: ERIE FAMILY HEALTH CENTER,Erie Family Health Centers,high,https://www.eriefamilyhealth.org/locations/,2026-09-12,Operator uses the plural form; IDPH and HRSA carry the older singular.
Roald Amundsen High School,609695,zip,60625,60625-1397,,60625,high,https://www.eriefamilyhealth.org/locations/amundsen/,2026-09-12,IDPH's ZIP+4 suffix is duplicated from the Hibbard entry; treat as a copy error.
Roberto Clemente Community Academy High School,609759,hours,Mon-Fri: 8:00am-4:00pm,,"Erie: M, T, Th, F 8:00 AM-4:30 PM; W 10:00 AM-4:30 PM","Mon, Tue, Thu, Fri: 8:00am-4:30pm; Wed: 10:00am-4:30pm",high,https://www.eriefamilyhealth.org/locations/clemente/,2026-09-12,CPS sheet misses the Wednesday late open and ends the day 30 min early. Erie publishes the same pattern at all five of its school sites.
Roberto Clemente Community Academy High School,609759,hours_split,Mon-Fri: 8:00am-4:00pm,,,"school_year: Mon, Tue, Thu, Fri: 8:00am-4:30pm; Wed: 10:00am-4:30pm",high,https://www.eriefamilyhealth.org/locations/clemente/,2026-09-12,School-year medical schedule. No summer or dental schedule published.
Roberto Clemente Community Academy High School,609759,operational_status,,,,operating,high,https://www.eriefamilyhealth.org/locations/clemente/,2026-09-12,Listed on the operator's current site.
Roberto Clemente Community Academy High School,609759,phone,312-432-7475,312-432-7475,Erie publishes 312.666.3494,312-666-3494,medium,https://www.eriefamilyhealth.org/locations/clemente/,2026-09-12,Both sheets carry a 312-432 direct line that Erie no longer publishes.
Roberto Clemente Community Academy High School,609759,sponsor,Erie Family Health Centers,Erie Family Health Center,HRSA grantee: ERIE FAMILY HEALTH CENTER,Erie Family Health Centers,high,https://www.eriefamilyhealth.org/locations/,2026-09-12,Operator uses the plural form; IDPH and HRSA carry the older singular.
Roger C Sullivan High School,609733,operational_status,,,,operating,high,https://tap360health.org/location/,2026-09-12,Listed on the operator's current site.
Roger C Sullivan High School,609733,phone,312-517-2590,773-761-5309,Tapestry: 312-517-2590,312-517-2590,high,https://tap360health.org/location/,2026-09-12,IDPH lists the same number for Kilmer and Sullivan; both are wrong.
Roger C Sullivan High School,609733,room_or_entrance,,,,Room 100,high,https://tap360health.org/location/,2026-09-12,Published by Tapestry 360 Health.
Roger C Sullivan High School,609733,sponsor,Tapestry 360 Health,Heartland Health Center,HRSA grantee: TAPESTRY 360 HEALTH,Tapestry 360 Health,high,https://tap360health.org/new-name-same-quality-care/; https://blockclubchicago.org/2022/10/13/heartland-health-centers-renamed-tapestry-360-health-to-avoid-confusion-with-former-sister-agency/; https://tap360health.org/location/,2026-09-12,Heartland Health Centers rebranded as Tapestry 360 Health in Oct 2022. IDPH certified list still carries the pre-rename name. CPS sheet is correct.
Simpson Academy HS for Young Women,609750,access_text,Open to CPS Students & Family Members Only,,"Rush: serves Simpson students and their children, and via its community door students from other Chicago schools",Open to CPS students and their children; accessible to students from other CPS schools,high,https://www.rush.edu/about-us/rush-community/office-community-health-equity-and-engagement/community-based-practices,2026-09-12,Operator description is more specific than either sheet.
Simpson Academy HS for Young Women,609750,operational_status,,,,operating,high,https://www.rush.edu/about-us/rush-community/office-community-health-equity-and-engagement/community-based-practices,2026-09-12,Listed on the operator's current site.
Simpson Academy HS for Young Women,609750,room_or_entrance,,,,Entrance immediately left of the main school door; separate community door,high,https://www.rush.edu/about-us/rush-community/office-community-health-equity-and-engagement/community-based-practices,2026-09-12,"Rush notes the community door is how students from other CPS schools reach the centre, which is what makes this site all-CPS-accessible rather than enrolled-students-only."
Stephen F Gale Elementary Community Academy,609933,operational_status,,,,operating,high,https://tap360health.org/location/,2026-09-12,Listed on the operator's current site.
Stephen F Gale Elementary Community Academy,609933,phone,773-366-7710,773-336-7710,Tapestry: 773-366-7710,773-366-7710,high,https://tap360health.org/location/,2026-09-12,IDPH has two digits transposed.
Stephen F Gale Elementary Community Academy,609933,room_or_entrance,,,,Room 107,high,https://tap360health.org/location/,2026-09-12,Published by Tapestry 360 Health.
Stephen F Gale Elementary Community Academy,609933,sponsor,Tapestry 360 Health,Heartland Health Center,HRSA grantee: TAPESTRY 360 HEALTH,Tapestry 360 Health,high,https://tap360health.org/new-name-same-quality-care/; https://blockclubchicago.org/2022/10/13/heartland-health-centers-renamed-tapestry-360-health-to-avoid-confusion-with-former-sister-agency/; https://tap360health.org/location/,2026-09-12,Heartland Health Centers rebranded as Tapestry 360 Health in Oct 2022. IDPH certified list still carries the pre-rename name. CPS sheet is correct.
Theodore Roosevelt High School,609728,hours,"Mon, Tue, Thur: 8:00am-4:00pm / Thur: 8:00am-4:00pm",,Tapestry publishes no hours for this site,"Mon, Tue, Thu: 8:00am-4:00pm",low,https://tap360health.org/location/,2026-09-12,"The CPS field repeats Thursday; the duplicate line is redundant, not a second schedule. Deduplicated, but day coverage is unverified against the operator."
Theodore Roosevelt High School,609728,hours_split,"Mon, Tue, Thur: 8:00am-4:00pm
Thur: 8:00am-4:00pm",,,"school_year: Mon, Tue, Thu: 8:00am-4:00pm",high,https://tap360health.org/location/,2026-09-12,School-year medical schedule. No summer or dental schedule published.
Theodore Roosevelt High School,609728,operational_status,,,,operating,high,https://tap360health.org/location/,2026-09-12,Listed on the operator's current site.
Theodore Roosevelt High School,609728,phone,872-268-7545,773-866-0818,Tapestry: 872-268-7545,872-268-7545,high,https://tap360health.org/location/,2026-09-12,IDPH number is stale.
Theodore Roosevelt High School,609728,room_or_entrance,,,,Room 166,high,https://tap360health.org/location/,2026-09-12,Published by Tapestry 360 Health.
Theodore Roosevelt High School,609728,sponsor,Tapestry 360 Health,Heartland Health Center,HRSA grantee: TAPESTRY 360 HEALTH,Tapestry 360 Health,high,https://tap360health.org/new-name-same-quality-care/; https://blockclubchicago.org/2022/10/13/heartland-health-centers-renamed-tapestry-360-health-to-avoid-confusion-with-former-sister-agency/; https://tap360health.org/location/,2026-09-12,Heartland Health Centers rebranded as Tapestry 360 Health in Oct 2022. IDPH certified list still carries the pre-rename name. CPS sheet is correct.
Uplift Community High School,610394,operational_status,not listed,certified (listed),340B site BPS-H80-010055 terminated 2024-04-01,closed,high,https://340bopais.hrsa.gov/cedetails/21948; https://tap360health.org/location/; https://tap360health.org/medical-specialties/student-health/,2026-09-12,340B termination reason: 'Business decision by the Covered Entity'. Absent from Tapestry 360's six-site student-health list. IDPH certified list is stale here.
Uplift Community High School,610394,operational_status,,,,closed (2024-04-01),high,https://340bopais.hrsa.gov/cedetails/21948; https://tap360health.org/location/; https://tap360health.org/medical-specialties/student-health/,2026-09-12,340B site BPS-H80-010055 terminated; reason 'Business decision by the Covered Entity'. Absent from Tapestry 360's six-site student-health list.
Wendell Phillips Academy High School,609727,operational_status,,,,operating,high,https://www.rush.edu/about-us/rush-community/office-community-health-equity-and-engagement/community-based-practices,2026-09-12,Listed on the operator's current site.
Wendell Phillips Academy High School,609727,phone,773-535-1837,773-373-3698,Rush: (773) 535-1837,773-535-1837,high,https://www.rush.edu/about-us/rush-community/office-community-health-equity-and-engagement/community-based-practices,2026-09-12,IDPH number is stale.
Wendell Phillips Academy High School,609727,room_or_entrance,,,,Lower Level,high,https://www.rush.edu/about-us/rush-community/office-community-health-equity-and-engagement/community-based-practices,2026-09-12,Published by Rush.
Wendell Phillips Academy High School,609727,sponsor,Rush University Medical Center,Mercy Hospital and Medical Center,not in HRSA school-setting extract,Rush University Medical Center,high,https://www.rush.edu/about-us/rush-community/office-community-health-equity-and-engagement/community-based-practices,2026-09-12,Rush lists 'Rush Health Center at Wendell Phillips Academy High School' among its five SBHCs and publishes the same phone CPS carries. IDPH's Mercy attribution is stale.
William C Reavis Math & Science Specialty ES,610143,hours,,,Near North archived page: Monday-Friday 8:00 am - 5:00 pm,,unresolved,https://www.boardportal.nearnorthhealth.org/reavis-school-based-health-center-; https://nearnorthhealth.org/locations/,2026-09-12,"Historical hours recorded for reference only. Not asserted, because the site appears to have closed or been consolidated."
William C Reavis Math & Science Specialty ES,610143,hours_split,,,,,unresolved,https://www.boardportal.nearnorthhealth.org/reavis-school-based-health-center-; https://nearnorthhealth.org/locations/,2026-09-12,Site appears closed; historical value (Mon-Fri 8:00am-5:00pm) is recorded in the discrepancy table for reference only and is not asserted here.
William C Reavis Math & Science Specialty ES,610143,operational_status,not listed,certified (listed),absent from operator's current locations page,closed_or_consolidated,medium,https://nearnorthhealth.org/locations/; https://www.boardportal.nearnorthhealth.org/reavis-school-based-health-center-; https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD,2026-09-12,"Near North Health's locations page (modified 2026-09-11) lists only Winfield Moody, North Kostner, Oakwood Shores, Komed Holman (select services) and Gage Park WIC; the former Reavis page URL now resolves to that page, which announces consolidation into three locations. Absence of evidence, not a closure notice."
William C Reavis Math & Science Specialty ES,610143,operational_status,,,,closed_or_consolidated,medium,https://nearnorthhealth.org/locations/; https://www.boardportal.nearnorthhealth.org/reavis-school-based-health-center-,2026-09-12,"Absent from Near North Health's locations page (modified 2026-09-11); the former Reavis page URL now resolves to that page, which announces consolidation into three locations. No dated closure record found, so closed_on is left empty."
William C Reavis Math & Science Specialty ES,610143,sponsor,,Near North/Komed-Homan Health Center,CDPH 2014: 'Near North - Reavis',Near North Health,high,https://nearnorthhealth.org/locations/; https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD,2026-09-12,IDPH conflates two separate Near North sites; Komed Holman Health Center is a distinct site at 4259 S Berkeley Ave. Sponsor is Near North Health (formerly Near North Health Service Corporation). Sponsor recorded for completeness; the site itself appears closed.
William G Hibbard Elementary School,609994,hours,"Mon, Wed, Thur: 8:00am-4:00pm / Mon: 8:00am-2:30pm, Wed: 8:00am-2:00pm",,Tapestry publishes no hours for this site,,unresolved,https://tap360health.org/location/,2026-09-12,"NOT RESOLVED. The CPS field holds two overlapping schedules. The sheet's access note mentions dental, so these are most likely separate medical and dental schedules that were concatenated. Needs to be split into two fields, not merged."
William G Hibbard Elementary School,609994,hours_split,"Mon, Wed, Thur: 8:00am-4:00pm 
Mon: 8:00am-2:30pm, Wed:8:00am-2:00pm",,,"school_year: Mon, Wed, Thu: 8:00am-4:00pm || dental: Mon: 8:00am-2:30pm; Wed: 8:00am-2:00pm",medium,https://tap360health.org/location/,2026-09-12,"The single CPS hours cell held two concatenated schedules. Splitting them is supported by the sheet's own access note - 'Open to Enrolled Students at School and Tapestry 360 Health Patients (Dental)' - which is the only site in either sheet that names dental. Tapestry publishes no hours for this site, so the medical/dental attribution is inferred from the access note and should be confirmed by phone."
William G Hibbard Elementary School,609994,operational_status,,,,operating,high,https://tap360health.org/location/,2026-09-12,Listed on the operator's current site.
William G Hibbard Elementary School,609994,site_address,3244 W Ainslie St,"3244 W. Ainsley St., 60625-1397",Tapestry: 3244 West Ainslie Street; CDPH 2014: 4930 N Sawyer Ave,3244 W Ainslie St,high,https://tap360health.org/location/; https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD,2026-09-12,IDPH misspells Ainslie and carries Amundsen's ZIP+4 (60625-1397). CDPH's 4930 N Sawyer Ave is the same building's corner frontage; the operator publishes the Ainslie address.
William G Hibbard Elementary School,609994,sponsor,Tapestry 360 Health,Heartland Health Center,HRSA grantee: TAPESTRY 360 HEALTH,Tapestry 360 Health,high,https://tap360health.org/new-name-same-quality-care/; https://blockclubchicago.org/2022/10/13/heartland-health-centers-renamed-tapestry-360-health-to-avoid-confusion-with-former-sister-agency/; https://tap360health.org/location/,2026-09-12,Heartland Health Centers rebranded as Tapestry 360 Health in Oct 2022. IDPH certified list still carries the pre-rename name. CPS sheet is correct.
Wilma Rudolph Elementary Learning Center,610308,operational_status,not listed,certified (listed),340B site BPS-H80-010036 terminated 2024-04-01,closed,high,https://340bopais.hrsa.gov/cedetails/27228; https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics; https://live.today.uic.edu/grand-opening-of-ui-healths-auburn-gresham-health-center/,2026-09-12,"340B termination reason: 'Site closure'. Mile Square's current school-based list has four sites (Davis, Drake, Englewood STEM, NTA) and does not include this one."
Wilma Rudolph Elementary Learning Center,610308,operational_status,,,,closed (2024-04-01),high,https://340bopais.hrsa.gov/cedetails/27228; https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics,2026-09-12,340B site BPS-H80-010036 terminated; reason 'Site closure'. Absent from Mile Square's current four-site school-based list. Row also carries a bad school match.
Wilma Rudolph Elementary Learning Center,610308,school_name,not listed,Hope Health & Wellness SHC @ 1628 W. Washington Blvd,matched to Rudolph by address identity,Hope Institute Learning Academy,high,https://340bopais.hrsa.gov/cedetails/27228; https://live.today.uic.edu/grand-opening-of-ui-healths-auburn-gresham-health-center/,2026-09-12,"MISMATCH in sbhc.csv: 1628 W Washington Blvd is Hope Institute Learning Academy. UIC's own announcement lists 'Hope Institute Learning Academy, 1628 W. Washington Blvd.' as the Mile Square site. The address_identity join attached it to Rudolph."
